epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,667.27,1.82637,2.18559,0.00197,0.44414,0.36824,0.36498,0.22446,1.63467,1.47455,0.00257,0.00997531,0.0033251,0.00997531,0.0033251,0.0767243,0.0700741,0.00997531,0.0033251
2,1396.31,1.78614,1.51347,0.00186,0.49399,0.41042,0.41483,0.25461,1.61724,1.35725,0.00254,0.0198764,0.00662548,0.0198764,0.00662548,0.0532921,0.0400411,0.0198764,0.00662548
3,2138.58,1.77815,1.45743,0.00186,0.49243,0.40688,0.4083,0.24881,1.67076,1.41953,0.00262,0.0296786,0.00989285,0.0296786,0.00989285,0.0297609,0.00997516,0.0296786,0.00989285
4,2835.73,1.77791,1.41476,0.00187,0.5066,0.42932,0.42985,0.26267,1.64107,1.34498,0.00263,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,3499.22,1.75796,1.3633,0.00182,0.52517,0.44543,0.44922,0.27729,1.61467,1.31804,0.00254,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4181.71,1.74005,1.31244,0.00179,0.53491,0.45293,0.46505,0.2885,1.59773,1.27068,0.0025,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4878.34,1.72717,1.28708,0.00178,0.53793,0.46433,0.4747,0.28965,1.6129,1.25988,0.00252,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,5587.52,1.71366,1.25825,0.00176,0.53988,0.46557,0.47167,0.28944,1.59859,1.26679,0.0025,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,6298.43,1.69308,1.23358,0.00175,0.56009,0.47626,0.49437,0.30711,1.59167,1.23383,0.00248,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6996.56,1.68711,1.21393,0.00173,0.55709,0.47536,0.49345,0.30618,1.5761,1.2278,0.00245,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7695.99,1.68828,1.20137,0.00173,0.57265,0.47042,0.49861,0.30928,1.59105,1.21158,0.00248,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,8409.98,1.67167,1.18073,0.00171,0.57208,0.4828,0.50084,0.31249,1.58703,1.21247,0.00247,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,9077.42,1.67147,1.16444,0.0017,0.56987,0.48276,0.50174,0.31108,1.57099,1.20052,0.00244,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
