epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.559,1.66044,1.82079,1.0765,0.26418,0.24039,0.20435,0.11913,1.52802,1.38834,1.03848,0.0670204,0.000333127,0.000333127
2,368.276,1.5811,1.46974,1.0491,0.30037,0.25816,0.23322,0.13314,1.52606,1.31686,1.02996,0.0340171,0.000663162,0.000663162
3,540.289,1.54728,1.37314,1.03609,0.35096,0.28425,0.26464,0.15646,1.47427,1.26406,1.02141,0.0010105,0.000989896,0.000989896
4,707.266,1.52581,1.32764,1.03141,0.35602,0.30453,0.28344,0.1674,1.43211,1.20641,1.01342,0.00098515,0.00098515,0.00098515
5,863.172,1.50321,1.28525,1.02238,0.36748,0.31762,0.29558,0.17413,1.43613,1.18997,1.00716,0.0009802,0.0009802,0.0009802
6,1020.25,1.49502,1.25873,1.01791,0.36619,0.31341,0.28439,0.1665,1.44537,1.20124,1.00632,0.00097525,0.00097525,0.00097525
7,1201.91,1.47357,1.23634,1.01267,0.40276,0.33046,0.3113,0.18263,1.41254,1.14799,1.00049,0.0009703,0.0009703,0.0009703
8,1383.54,1.46662,1.21284,1.00879,0.41496,0.33477,0.32475,0.19158,1.39813,1.14152,0.99545,0.00096535,0.00096535,0.00096535
9,1555.07,1.46156,1.19911,1.00604,0.42053,0.34658,0.33423,0.19705,1.38354,1.12574,0.99454,0.0009604,0.0009604,0.0009604
10,1725.75,1.44913,1.17295,1.00057,0.40365,0.34274,0.32362,0.19205,1.40406,1.12817,0.99216,0.00095545,0.00095545,0.00095545
11,1892.93,1.4456,1.16438,0.99862,0.43013,0.34809,0.34005,0.20069,1.38639,1.11425,0.98583,0.0009505,0.0009505,0.0009505
12,2056.57,1.43384,1.14875,0.99843,0.4362,0.36271,0.34832,0.20329,1.38274,1.08837,0.98967,0.00094555,0.00094555,0.00094555
