epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,20338.9,1.60315,1.03422,0.00159,0.58803,0.50054,0.52186,0.32694,1.55039,1.15655,0.00239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,20972.4,1.60016,1.02199,0.0016,0.59975,0.49598,0.52468,0.32793,1.55333,1.15341,0.00241,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,21607,1.60616,1.02386,0.00158,0.5892,0.50153,0.52552,0.3302,1.54679,1.14873,0.0024,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,22252.6,1.59702,1.01612,0.00159,0.61487,0.49964,0.52967,0.33252,1.54485,1.13866,0.00237,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,22871.8,1.58994,1.01015,0.00158,0.59471,0.5008,0.52262,0.32941,1.5452,1.14739,0.00238,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,23506,1.58941,1.00408,0.00158,0.61076,0.50235,0.53019,0.33309,1.55429,1.13892,0.00239,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,24133.8,1.58436,0.99737,0.00158,0.59526,0.50851,0.52502,0.32786,1.54802,1.14804,0.00238,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,24773.1,1.58652,0.99722,0.00156,0.59824,0.50707,0.53424,0.33721,1.53749,1.13274,0.00236,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,25416.8,1.58621,0.99562,0.00157,0.59743,0.5045,0.52924,0.33466,1.54026,1.14758,0.00237,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,26050.1,1.5824,0.98868,0.00156,0.60242,0.49949,0.52592,0.3305,1.54486,1.14242,0.00238,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,26680,1.58029,0.98245,0.00156,0.61698,0.4987,0.53462,0.33565,1.5417,1.13124,0.00237,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,27323.8,1.57194,0.97409,0.00155,0.60753,0.50271,0.53209,0.33677,1.54292,1.12939,0.00237,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,27948.3,1.57395,0.97433,0.00155,0.59661,0.50766,0.5284,0.33188,1.53715,1.13801,0.00238,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,28646.2,1.57094,0.96699,0.00154,0.61157,0.50056,0.53261,0.33582,1.53938,1.14062,0.00238,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,29268.1,1.57366,0.97064,0.00155,0.60975,0.50199,0.52765,0.33193,1.54665,1.14714,0.00238,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,29906.7,1.58169,0.96719,0.00154,0.61846,0.49771,0.53106,0.33701,1.54085,1.13711,0.00236,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,30550.8,1.562,0.95875,0.00154,0.61781,0.49688,0.52769,0.33116,1.54933,1.1447,0.00239,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,31166.3,1.5609,0.95659,0.00154,0.62045,0.49814,0.53511,0.33755,1.53625,1.13239,0.00236,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,31779,1.56378,0.95137,0.00153,0.60494,0.50504,0.53089,0.33459,1.54447,1.14049,0.00237,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,32426,1.563,0.94799,0.00154,0.60868,0.50534,0.53276,0.33479,1.54622,1.13122,0.00238,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,33102,1.56095,0.94709,0.00153,0.60531,0.50068,0.53017,0.33471,1.54403,1.14012,0.00238,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,33809.7,1.56269,0.94733,0.00153,0.60648,0.50491,0.53112,0.33404,1.54766,1.13919,0.00238,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,34436.3,1.54855,0.93335,0.00152,0.60103,0.51065,0.5327,0.33596,1.5436,1.1409,0.00238,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
