epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,14945.8,1.3302,1.01326,1.00539,0.54158,0.44825,0.46795,0.28951,1.27942,0.97445,0.99942,0.00079705,0.00079705,0.00079705
43,15297.5,1.32439,1.01274,1.00383,0.53678,0.44809,0.46746,0.28975,1.27383,0.97585,0.99887,0.0007921,0.0007921,0.0007921
44,15650.4,1.32624,1.00229,1.00322,0.54118,0.44605,0.46708,0.28987,1.27002,0.96552,0.99578,0.00078715,0.00078715,0.00078715
45,16000.9,1.32278,1.00588,1.00348,0.53967,0.45714,0.46918,0.29165,1.26904,0.96753,0.99411,0.0007822,0.0007822,0.0007822
46,16352.2,1.32385,1.00226,1.00309,0.54843,0.45357,0.4709,0.29414,1.26913,0.96572,0.99565,0.00077725,0.00077725,0.00077725
47,16705,1.31442,0.99687,0.99953,0.54932,0.44597,0.46942,0.29259,1.27029,0.96328,0.99566,0.0007723,0.0007723,0.0007723
48,17057.1,1.31741,0.99347,1.00158,0.54677,0.44696,0.46919,0.29208,1.26867,0.96009,0.9933,0.00076735,0.00076735,0.00076735
49,17407.8,1.31076,0.98246,0.998,0.55734,0.4563,0.47559,0.29601,1.26559,0.95858,0.9936,0.0007624,0.0007624,0.0007624
50,17759.5,1.31553,0.98715,0.99993,0.57157,0.4506,0.47714,0.2972,1.26698,0.95871,0.99373,0.00075745,0.00075745,0.00075745
51,18109.2,1.31649,0.98429,0.9999,0.5599,0.45168,0.47682,0.29631,1.26466,0.95398,0.99165,0.0007525,0.0007525,0.0007525
52,18460.6,1.31329,0.9808,0.99837,0.55006,0.45307,0.47445,0.29724,1.26225,0.95416,0.99136,0.00074755,0.00074755,0.00074755
53,18811.7,1.30676,0.97914,0.99713,0.55471,0.45719,0.47948,0.29808,1.26654,0.94982,0.99453,0.0007426,0.0007426,0.0007426
54,19163.3,1.31656,0.97967,1.00039,0.5557,0.44738,0.47423,0.29658,1.26593,0.94925,0.99272,0.00073765,0.00073765,0.00073765
55,19514.6,1.30146,0.97076,0.99626,0.5587,0.45771,0.47803,0.29904,1.26144,0.94928,0.9909,0.0007327,0.0007327,0.0007327
56,19866.9,1.30197,0.9669,0.99495,0.56747,0.4537,0.48264,0.30056,1.2641,0.94514,0.99204,0.00072775,0.00072775,0.00072775
57,20219.2,1.3055,0.9689,0.99606,0.57802,0.45678,0.48482,0.30139,1.25909,0.94475,0.99107,0.0007228,0.0007228,0.0007228
58,20572.6,1.30158,0.9651,0.99437,0.5716,0.4542,0.48074,0.29936,1.25541,0.94139,0.98909,0.00071785,0.00071785,0.00071785
59,20926,1.30191,0.96362,0.9953,0.55333,0.46416,0.48419,0.30155,1.25718,0.94022,0.98974,0.0007129,0.0007129,0.0007129
60,21278,1.30063,0.96033,0.99288,0.57041,0.46141,0.48628,0.30332,1.25695,0.94012,0.98973,0.00070795,0.00070795,0.00070795
61,21628.7,1.29597,0.95814,0.99238,0.56579,0.46093,0.48526,0.30265,1.25921,0.93846,0.99095,0.000703,0.000703,0.000703
62,21979.9,1.30322,0.96156,0.99401,0.56345,0.46165,0.48577,0.30348,1.25944,0.9382,0.99001,0.00069805,0.00069805,0.00069805
63,22332.3,1.30165,0.96204,0.99345,0.56753,0.45744,0.48345,0.3019,1.25776,0.94206,0.99099,0.0006931,0.0006931,0.0006931
64,22682.8,1.2915,0.9523,0.98938,0.57306,0.45214,0.48347,0.30207,1.25777,0.93909,0.98933,0.00068815,0.00068815,0.00068815
65,23033.8,1.29584,0.9561,0.99201,0.57032,0.46221,0.48812,0.30415,1.25663,0.93511,0.98886,0.0006832,0.0006832,0.0006832
66,23386.1,1.29436,0.94778,0.98952,0.5772,0.45565,0.48374,0.30234,1.25784,0.93712,0.98949,0.00067825,0.00067825,0.00067825
67,23736.7,1.28837,0.9486,0.98811,0.5678,0.4601,0.48692,0.3036,1.25858,0.93564,0.98965,0.0006733,0.0006733,0.0006733
68,24088.4,1.29019,0.9468,0.9879,0.5642,0.46701,0.48838,0.30459,1.25732,0.93392,0.98864,0.00066835,0.00066835,0.00066835
69,24440.2,1.28453,0.93831,0.98814,0.576,0.46301,0.48972,0.30469,1.25801,0.93217,0.98826,0.0006634,0.0006634,0.0006634
70,24793.5,1.27906,0.9406,0.98748,0.56939,0.46597,0.49127,0.30608,1.25584,0.92983,0.9872,0.00065845,0.00065845,0.00065845
71,25146.8,1.28321,0.93971,0.98643,0.56701,0.46707,0.49076,0.30679,1.25474,0.9299,0.98805,0.0006535,0.0006535,0.0006535
72,25498.5,1.2851,0.93496,0.98668,0.57696,0.45598,0.48825,0.30526,1.2536,0.93198,0.98755,0.00064855,0.00064855,0.00064855
73,25849.8,1.28652,0.93813,0.98876,0.57596,0.46104,0.48957,0.30628,1.25316,0.92721,0.98737,0.0006436,0.0006436,0.0006436
74,26201.9,1.28526,0.93336,0.987,0.58239,0.46611,0.49362,0.30887,1.25372,0.92669,0.98738,0.00063865,0.00063865,0.00063865
75,26555.3,1.2821,0.93356,0.98518,0.56821,0.46817,0.49217,0.30812,1.25469,0.92534,0.98743,0.0006337,0.0006337,0.0006337
76,26906.8,1.28053,0.93112,0.98628,0.57198,0.46707,0.4924,0.30907,1.25382,0.92446,0.98684,0.00062875,0.00062875,0.00062875
77,27258.3,1.27851,0.93147,0.98497,0.56726,0.47126,0.49391,0.30891,1.253,0.92339,0.98609,0.0006238,0.0006238,0.0006238
78,27609.5,1.28427,0.92981,0.98526,0.56573,0.47519,0.49393,0.30884,1.25489,0.92422,0.98649,0.00061885,0.00061885,0.00061885
79,27961.4,1.27134,0.92312,0.98224,0.56669,0.47798,0.49497,0.3101,1.25364,0.92439,0.98659,0.0006139,0.0006139,0.0006139
80,28313.7,1.27965,0.92161,0.98476,0.58446,0.46904,0.49469,0.31032,1.24995,0.9211,0.98459,0.00060895,0.00060895,0.00060895
81,28664.8,1.27215,0.91462,0.98356,0.57862,0.46388,0.49298,0.30891,1.24945,0.92006,0.98525,0.000604,0.000604,0.000604
82,29016.4,1.28014,0.92221,0.98435,0.57658,0.4703,0.49408,0.30961,1.25096,0.92008,0.98508,0.00059905,0.00059905,0.00059905
83,29366.3,1.27749,0.91471,0.98328,0.57657,0.46801,0.49289,0.30872,1.251,0.9208,0.98443,0.0005941,0.0005941,0.0005941
84,29716.9,1.27078,0.91892,0.98386,0.57184,0.47554,0.49428,0.30907,1.2519,0.91997,0.98541,0.00058915,0.00058915,0.00058915
85,30070,1.27168,0.91259,0.98259,0.58083,0.46253,0.49353,0.30912,1.25264,0.92005,0.98495,0.0005842,0.0005842,0.0005842
86,30422.1,1.26791,0.91213,0.98157,0.57612,0.46736,0.49321,0.3089,1.2518,0.91989,0.98478,0.00057925,0.00057925,0.00057925
87,30774.2,1.269,0.91492,0.98297,0.57065,0.46976,0.49472,0.31029,1.25061,0.91864,0.98486,0.0005743,0.0005743,0.0005743
88,31125.2,1.26521,0.9072,0.97984,0.56778,0.47287,0.49497,0.3103,1.25043,0.9194,0.98526,0.00056935,0.00056935,0.00056935
89,31477.4,1.26858,0.90975,0.9823,0.57771,0.46891,0.49542,0.3104,1.25059,0.91789,0.98546,0.0005644,0.0005644,0.0005644
90,31829.9,1.26256,0.90399,0.97997,0.58101,0.46986,0.49631,0.31066,1.249,0.91792,0.98398,0.00055945,0.00055945,0.00055945
91,32181.8,1.26291,0.90767,0.97947,0.57215,0.47181,0.49586,0.31066,1.24938,0.91751,0.98356,0.0005545,0.0005545,0.0005545
92,32534.5,1.26596,0.90653,0.97986,0.58016,0.46814,0.49578,0.31056,1.25096,0.91693,0.98398,0.00054955,0.00054955,0.00054955
93,32884.8,1.26526,0.90246,0.98119,0.57378,0.47059,0.49562,0.31063,1.2501,0.91618,0.98413,0.0005446,0.0005446,0.0005446
94,33236,1.26365,0.89982,0.97928,0.57431,0.47189,0.49719,0.31163,1.25155,0.91537,0.98484,0.00053965,0.00053965,0.00053965
95,33588.7,1.26391,0.90559,0.97965,0.58121,0.46881,0.49737,0.31207,1.25056,0.91229,0.98407,0.0005347,0.0005347,0.0005347
96,33940.5,1.25918,0.89802,0.9796,0.57779,0.4725,0.49698,0.31224,1.25037,0.91216,0.98415,0.00052975,0.00052975,0.00052975
97,34294.2,1.25615,0.89172,0.97832,0.57766,0.47127,0.49642,0.31077,1.24896,0.91316,0.98314,0.0005248,0.0005248,0.0005248
98,34646,1.25918,0.89577,0.97663,0.57256,0.4735,0.49834,0.31175,1.24883,0.91171,0.98298,0.00051985,0.00051985,0.00051985
99,34996.8,1.25778,0.89567,0.97657,0.58232,0.47225,0.49884,0.31223,1.24959,0.91031,0.98335,0.0005149,0.0005149,0.0005149
100,35347.9,1.26741,0.89452,0.97563,0.58502,0.46933,0.49846,0.31238,1.24812,0.91025,0.98319,0.00050995,0.00050995,0.00050995
101,35697.9,1.25914,0.89331,0.97633,0.58405,0.4721,0.4992,0.31222,1.24691,0.91079,0.98289,0.000505,0.000505,0.000505
102,36048.1,1.26028,0.88804,0.97699,0.58691,0.46874,0.4999,0.31225,1.24659,0.91028,0.98297,0.00050005,0.00050005,0.00050005
103,36398.9,1.25811,0.89009,0.9753,0.58615,0.47082,0.50015,0.31238,1.24702,0.91053,0.9828,0.0004951,0.0004951,0.0004951
104,36750.8,1.25642,0.88501,0.97589,0.58329,0.47286,0.50071,0.31296,1.24681,0.91016,0.98264,0.00049015,0.00049015,0.00049015
105,37103.3,1.2419,0.87893,0.97219,0.57973,0.47344,0.50034,0.31322,1.24632,0.90946,0.98243,0.0004852,0.0004852,0.0004852
106,37456.3,1.25356,0.88887,0.97489,0.57792,0.47591,0.50137,0.31333,1.24619,0.90906,0.9822,0.00048025,0.00048025,0.00048025
107,37809.4,1.25599,0.88336,0.97459,0.57461,0.47839,0.50129,0.31393,1.24561,0.90941,0.98215,0.0004753,0.0004753,0.0004753
108,38160.6,1.24981,0.87904,0.97374,0.57319,0.47849,0.50191,0.31414,1.24548,0.90908,0.98231,0.00047035,0.00047035,0.00047035
109,38511.9,1.242,0.87678,0.97171,0.5743,0.48029,0.50255,0.31468,1.24566,0.90802,0.98223,0.0004654,0.0004654,0.0004654
110,38863.9,1.24671,0.88011,0.97356,0.57309,0.48079,0.50257,0.31452,1.24632,0.90796,0.98278,0.00046045,0.00046045,0.00046045
111,39215,1.24618,0.87911,0.97351,0.57171,0.48062,0.50241,0.31516,1.24558,0.90692,0.98253,0.0004555,0.0004555,0.0004555
112,39567.3,1.24581,0.87667,0.97131,0.57492,0.47641,0.50163,0.31449,1.24543,0.90644,0.98204,0.00045055,0.00045055,0.00045055
113,39919.4,1.24381,0.87364,0.97179,0.57811,0.47678,0.50194,0.31482,1.24435,0.90579,0.98153,0.0004456,0.0004456,0.0004456
114,40269.6,1.24245,0.87218,0.96987,0.5802,0.47634,0.50264,0.31526,1.2449,0.90554,0.9816,0.00044065,0.00044065,0.00044065
115,40621.1,1.24499,0.87191,0.97205,0.586,0.47319,0.50271,0.3151,1.24555,0.90571,0.98196,0.0004357,0.0004357,0.0004357
116,40972.1,1.24573,0.87357,0.97183,0.58684,0.47296,0.50278,0.31518,1.24515,0.90526,0.98171,0.00043075,0.00043075,0.00043075
117,41324.2,1.23854,0.86777,0.97251,0.58459,0.47612,0.50282,0.31534,1.24579,0.90527,0.98191,0.0004258,0.0004258,0.0004258
118,41676.4,1.24245,0.86904,0.97073,0.5841,0.47676,0.50249,0.3151,1.24554,0.90484,0.98148,0.00042085,0.00042085,0.00042085
119,42029.1,1.23298,0.86482,0.97016,0.58402,0.47542,0.50253,0.31516,1.24556,0.90475,0.9813,0.0004159,0.0004159,0.0004159
120,42381.7,1.23799,0.86453,0.97079,0.58014,0.47945,0.5024,0.31489,1.24563,0.90496,0.98135,0.00041095,0.00041095,0.00041095
121,42734.2,1.23425,0.86268,0.9668,0.58169,0.47768,0.50191,0.31463,1.24599,0.90446,0.98139,0.000406,0.000406,0.000406
122,43086.3,1.23429,0.85975,0.96998,0.58,0.47749,0.50197,0.31492,1.24592,0.9047,0.98114,0.00040105,0.00040105,0.00040105
123,43439.6,1.23343,0.86418,0.96934,0.57805,0.47898,0.50225,0.3154,1.24589,0.90448,0.98108,0.0003961,0.0003961,0.0003961
124,43792,1.24304,0.86381,0.9692,0.58112,0.47837,0.5026,0.31546,1.24544,0.90401,0.98082,0.00039115,0.00039115,0.00039115
125,44144.8,1.23947,0.86102,0.96975,0.57769,0.47843,0.50285,0.31528,1.24509,0.90386,0.98045,0.0003862,0.0003862,0.0003862
126,44497.8,1.23327,0.86215,0.96782,0.58416,0.47601,0.50241,0.31526,1.24515,0.90399,0.98062,0.00038125,0.00038125,0.00038125
127,44850.1,1.2308,0.85534,0.96943,0.58581,0.47402,0.5023,0.31491,1.24475,0.90378,0.98056,0.0003763,0.0003763,0.0003763
128,45201.6,1.23138,0.85521,0.96818,0.57949,0.47807,0.50275,0.31486,1.24451,0.90362,0.98048,0.00037135,0.00037135,0.00037135
129,45553.6,1.23753,0.85704,0.9683,0.57827,0.47999,0.50299,0.31495,1.24504,0.90339,0.98053,0.0003664,0.0003664,0.0003664
130,45905.2,1.23447,0.85364,0.96718,0.57969,0.47846,0.50312,0.31519,1.24539,0.90319,0.98058,0.00036145,0.00036145,0.00036145
131,46258.1,1.22606,0.85418,0.96683,0.58109,0.47701,0.5026,0.31484,1.24549,0.90296,0.98044,0.0003565,0.0003565,0.0003565
132,46610.8,1.22682,0.85181,0.96575,0.57828,0.47908,0.50299,0.31518,1.24581,0.90279,0.98055,0.00035155,0.00035155,0.00035155
133,46961.6,1.23111,0.8508,0.96697,0.57801,0.48003,0.5031,0.31529,1.246,0.90267,0.9805,0.0003466,0.0003466,0.0003466
134,47311.2,1.23181,0.84842,0.96526,0.58062,0.47879,0.5033,0.31532,1.2461,0.90272,0.98039,0.00034165,0.00034165,0.00034165
135,47662.7,1.22449,0.8454,0.96664,0.58229,0.47757,0.50295,0.31524,1.24612,0.90272,0.9803,0.0003367,0.0003367,0.0003367
136,48014.6,1.22939,0.8502,0.96653,0.58301,0.47721,0.50329,0.31517,1.24607,0.90254,0.9803,0.00033175,0.00033175,0.00033175
137,48367.1,1.22989,0.84596,0.96613,0.58108,0.47949,0.50323,0.31514,1.24624,0.90233,0.98017,0.0003268,0.0003268,0.0003268
138,48719.1,1.22696,0.84309,0.9667,0.58001,0.48095,0.50338,0.31507,1.24627,0.90194,0.98027,0.00032185,0.00032185,0.00032185
139,49069.5,1.23293,0.85066,0.96643,0.57973,0.47876,0.50333,0.31496,1.24634,0.90169,0.98022,0.0003169,0.0003169,0.0003169
140,49420,1.219,0.83937,0.96527,0.57691,0.48109,0.50362,0.3149,1.24657,0.90167,0.98026,0.00031195,0.00031195,0.00031195
141,49770.8,1.22367,0.84389,0.9652,0.57789,0.48042,0.50365,0.31507,1.24627,0.90135,0.98016,0.000307,0.000307,0.000307
142,50122,1.22131,0.84178,0.96432,0.57772,0.48236,0.50383,0.31516,1.24625,0.9012,0.98018,0.00030205,0.00030205,0.00030205
143,50474,1.21546,0.83181,0.96412,0.57515,0.48341,0.50378,0.31498,1.24649,0.9011,0.98016,0.0002971,0.0002971,0.0002971
144,50824.8,1.22474,0.83908,0.96593,0.5767,0.48292,0.50373,0.3151,1.24658,0.90072,0.98026,0.00029215,0.00029215,0.00029215
145,51174.6,1.21556,0.83258,0.9633,0.5766,0.48306,0.50393,0.31496,1.24618,0.90073,0.98013,0.0002872,0.0002872,0.0002872
146,51524.4,1.21802,0.83526,0.96404,0.57708,0.48369,0.50406,0.31502,1.24664,0.90073,0.98026,0.00028225,0.00028225,0.00028225
147,51874.1,1.21544,0.83261,0.96361,0.57514,0.484,0.50388,0.31512,1.24637,0.90053,0.98014,0.0002773,0.0002773,0.0002773
148,52223.7,1.22264,0.83656,0.96295,0.57497,0.48356,0.50417,0.31513,1.24659,0.90013,0.98017,0.00027235,0.00027235,0.00027235
149,52575.3,1.21966,0.83281,0.96377,0.5754,0.48403,0.50474,0.31551,1.2465,0.90008,0.97998,0.0002674,0.0002674,0.0002674
150,52927.1,1.21944,0.83409,0.96292,0.57546,0.48392,0.50487,0.31514,1.24646,0.89994,0.97988,0.00026245,0.00026245,0.00026245
151,53279.2,1.2142,0.8312,0.96236,0.57672,0.4826,0.50438,0.31532,1.24657,0.89998,0.97989,0.0002575,0.0002575,0.0002575
152,53631.6,1.21822,0.83208,0.96262,0.5779,0.48309,0.50438,0.31515,1.24709,0.90008,0.98,0.00025255,0.00025255,0.00025255
153,53982.8,1.21587,0.83196,0.96134,0.57659,0.4832,0.50423,0.31522,1.24722,0.89973,0.97999,0.0002476,0.0002476,0.0002476
154,54333.6,1.22243,0.83389,0.96428,0.57844,0.48218,0.50419,0.31519,1.24733,0.89965,0.97994,0.00024265,0.00024265,0.00024265
155,54684.7,1.21377,0.82707,0.96271,0.57525,0.48341,0.50435,0.31529,1.24755,0.89953,0.98,0.0002377,0.0002377,0.0002377
